word	frequency
promotion	102
amoco	102
writing	101
pit	101
extra	101
audit	101
religious	101
healthy	101
reorganization	101
dynamic	101
chinese	101
apple	101
pose	101
prominent	101
owe	101
owen	101
title	101
winning	101
exclude	101
afford	100
video	100
indication	100
household	100
fairchild	100
witness	100
weaken	100
mail	100
redemption	100
royal	100
contest	100
happy	100
rare	100
teach	100
collect	100
turning	100
bidder	100
accident	100
appointment	100
merchandise	100
trigger	100
textile	100
husband	100
graduate	99
disney	99
fcc	99
iraq	99
dominion	99
downgrade	99
debtor	99
carter	99
harper	99
boss	99
speculate	98
korean	98
s.a.	98
safe	98
permanent	98
trip	98
ag	98
resist	98
skill	98
scientific	98
probe	98
indian	98
fortune	98
comparable	98
virtual	98
commissioner	98
ross	98
otherwise	98
recapitalization	97
author	97
scale	97
fla.	97
stearns	97
aluminum	97
uncertainty	97
henry	97
fbi	97
organize	96
pennsylvania	96
valley	96
round	96
defeat	96
hanover	96
costa	96
object	96
bottom	96
unfair	96
cooperate	96
borrow	96
eddie	95
specialize	95
halt	95
remark	95
oversee	95
health-care	95
maximum	95
flat	95
turner	95
proper	95
distributor	94
gap	94
auditor	94
faa	94
seller	94
dog	94
roger	94
phase	94
demonstrate	94
crowd	94
draft	94
freedom	94
abuse	94
fare	94
speaker	94
publication	94
caution	94
warning	94
sensitive	94
lake	94
departure	94
select	94
observer	93
burn	93
neighbor	93
tariff	93
el	93
specify	93
supporter	93
cooperation	93
louis	93
participant	93
scene	93
recovery	93
register	93
steelmaker	93
shortly	93
tobacco	93
enjoy	93
electrical	93
toshiba	92
jack	92
van	92
long-distance	92
printing	92
tactic	92
coverage	92
certificate	92
eat	92
prohibit	92
plastic	92
bargain	92
deduction	92
hostage	91
diversify	91
intention	91
emphasize	91
incident	91
extraordinary	91
democracy	91
vulnerable	90
consecutive	90
opponent	90
environment	90
arthur	90
reading	90
reverse	90
actor	90
score	90
restore	90
unable	89
iranian	89
tiny	89
sufficient	89
shrink	89
disappoint	89
summit	89
dominate	89
abandon	89
dump	89
accelerate	89
suitor	89
tape	89
du	89
senator	89
touch	89
trustee	89
ill.	89
enforcement	89
deaver	89
victory	89
boy	89
apparel	89
dream	89
false	89
nationwide	89
viacom	89
blow	88
danger	88
consistent	88
cyclops	88
counter	88
spur	88
bet	88
year-end	88
fashion	88
screen	88
spark	88
variety	88
cancel	88
mature	88
display	88
argentina	88
borrower	88
crazy	88
strict	88
bankruptcy-law	87
stability	87
holiday	87
mayor	87
approximate	87
golden	87
inform	87
welfare	87
resume	87
ceiling	87
bancorp	87
nobody	87
stabilize	87
weekly	87
adequate	87
alan	87
hunt	87
regulate	87
lucky	86
aside	86
compromise	86
widespread	86
route	86
cenergy	86
jose	86
veto	86
indict	86
massive	86
unsuccessful	86
pelton	86
drill	86
evening	85
theory	85
northwest	85
pool	85
colleague	85
bolster	85
facing	85
beneficial	85
electricity	85
fifth	85
element	85
gnp	85
restructure	85
desire	85
advocate	85
gamble	85
loan-loss	85
cabinet	85
destroy	84
fat	84
